Process Yellow;f7e214
PMS 100;f4ed7c
PMS 102;f9e814
Pantone Yellow;fce016
PMS 103;c6ad0f
PMS 104;ad9b0c
PMS 105;82750f
PMS 106;f7e859
PMS 107;f9e526
PMS 108;f7dd16
PMS 109;f9d616
PMS 110;d8b511
PMS 111;aa930a
PMS 112;99840a
PMS 113;f9e55b
PMS 114;f9e24c
PMS 115;f9e04c
PMS 116;fcd116
PMS 117;c6a00c
PMS 118;aa8e0a
PMS 119;897719
PMS 120;f9e27f
PMS 121;f9e070
PMS 122;fcd856
PMS 123;ffc61e
PMS 124;e0aa0f
PMS 125;b58c0a
PMS 1205;f7e8aa
PMS 1215;f9e08c
PMS 1225;ffcc49
PMS 1235;fcb514
PMS 1245;bf910c
PMS 1255;a37f14
PMS 1265;7c6316
PMS 127;f4e287
PMS 128;f4db60
PMS 129;f2d13d
PMS 130;eaaf0f
PMS 131;c6930a
PMS 132;9e7c0a
PMS 133;705b0a
PMS 134;ffd87f
PMS 135;fcc963
PMS 136;fcbf49
PMS 137;fca311
PMS 138;d88c02
PMS 139;af7505
PMS 140;7a5b11
PMS 1345;ffd691
PMS 1355;fcce87
PMS 1365;fcba5e
PMS 1375;f99b0c
PMS 1385;cc7a02
PMS 1395;996007
PMS 1405;6b4714
PMS 141;f2ce68
PMS 142;f2bf49
PMS 143;efb22d
PMS 144;e28c05
PMS 145;c67f07
PMS 146;9e6b05
PMS 147;725e26
PMS 148;ffd69b
PMS 149;fccc93
PMS 150;fcad56
PMS 151;f77f00
PMS 152;dd7500
PMS 153;bc6d0a
PMS 154;995905
PMS 1485;ffb777
PMS 1495;ff993f
PMS 1505;f47c00
Orange 021;ef6b00
PMS 1525;b55400
PMS 1535;8c4400
PMS 1545;4c280f
PMS 155;f4dbaa
PMS 156;f2c68c
PMS 157;eda04f
PMS 158;e87511
PMS 159;c66005
PMS 160;9e540a
PMS 161;633a11
PMS 1555;f9bf9e
PMS 1565;fca577
PMS 1575;fc8744
PMS 1585;f96b07
PMS 1595;d15b05
PMS 1605;a04f11
PMS 1615;843f0f
PMS 162;f9c6aa
PMS 163;fc9e70
PMS 164;fc7f3f
PMS 165;f96302
PMS 166;dd5900
PMS 167;bc4f07
PMS 168;6d3011
PMS 1625;f9a58c
PMS 1635;f98e6d
PMS 1645;f97242
PMS 1655;f95602
PMS 1665;f95602
PMS 1675;a53f0f
PMS 1685;843511
PMS 169;f9baaa
PMS 170;f98972
PMS 171;f9603a
PMS 172;f74902
PMS 173;d14414
PMS 174;933311
PMS 175;6d3321
PMS 176;f9afad
PMS 177;f9827f
PMS 178;f95e59
Warm Red;f93f26
PMS 179;e23d28
PMS 180;c13828
PMS 181;7c2d23
PMS 1765;f99ea3
PMS 1775;f9848e
PMS 1785;fc4f59
PMS 1788;ef2b2d
PMS 1795;d62828
PMS 1805;af2626
PMS 1815;7c211e
PMS 1767;f9b2b7
PMS 1777;fc6675
PMS 1787;f43f4f
Red 032;ef2b2d
PMS 1797;cc2d30
PMS 1807;a03033
PMS 1817;5b2d28
PMS 182;f9bfc1
PMS 183;fc8c99
PMS 184;fc5e72
PMS 185;e8112d
PMS 186;ce1126
PMS 187;af1e2d
PMS 188;7c2128
PMS 189;ffa3b2
PMS 190;fc758e
PMS 191;f4476b
PMS 192;e5053a
PMS 193;bf0a30
PMS 194;992135
PMS 195;772d35
PMS 1895;fcbfc9
PMS 1905;fc9bb2
PMS 1915;f4547c
PMS 1925;e00747
PMS 1935;c10538
PMS 1945;a80c35
PMS 1955;931638
PMS 196;f4c9c9
PMS 197;ef99a3
PMS 198;e5566d
PMS 199;d81c3f
PMS 200;c41e3a
PMS 201;a32638
PMS 202;8c2633
PMS 203;f2afc1
PMS 204;ed7a9e
PMS 205;e54c7c
PMS 206;d30547
PMS 207;af003d
PMS 208;8e2344
PMS 209;75263d
PMS 210;ffa0bf
PMS 211;ff77a8
PMS 212;f94f8e
PMS 213;ea0f6b
PMS 214;cc0256
PMS 215;a50544
PMS 216;7c1e3f
PMS 217;f4bfd1
PMS 218;ed72aa
PMS 219;e22882
Rubine Red;d10056
PMS 220;aa004f
PMS 221;930042
PMS 222;70193d
PMS 223;f993c4
PMS 224;f46baf
PMS 225;ed2893
PMS 226;d60270
PMS 227;ad005b
PMS 228;8c004c
PMS 229;6d213f
PMS 230;ffa0cc
PMS 231;fc70ba
PMS 232;f43fa5
Rhodamine Red;ed0091
PMS 233;ce007c
PMS 234;aa0066
PMS 235;8e0554
PMS 236;f9afd3
PMS 237;f484c4
PMS 238;ed4faf
PMS 239;e0219e
PMS 240;c40f89
PMS 241;ad0075
PMS 242;7c1c51
PMS 2365;f7c4d8
PMS 2375;ea6bbf
PMS 2385;db28a5
PMS 2395;c4008c
PMS 2405;a8007a
PMS 2415;9b0070
PMS 2425;87005b
PMS 243;f2bad8
PMS 244;eda0d3
PMS 245;e87fc9
PMS 246;cc00a0
PMS 247;b7008e
PMS 248;a3057f
PMS 249;7f2860
PMS 250;edc4dd
PMS 251;e29ed6
PMS 252;d36bc6
Purple;bf30b5
PMS 253;af23a5
PMS 254;a02d96
PMS 255;772d6b
PMS 256;e5c4d6
PMS 257;d3a5c9
PMS 258;9b4f96
PMS 259;72166b
PMS 260;681e5b
PMS 261;5e2154
PMS 262;542344
PMS 2562;d8a8d8
PMS 2572;c687d1
PMS 2582;aa47ba
PMS 2592;930fa5
PMS 2602;820c8e
PMS 2612;701e72
PMS 2622;602d59
PMS 2563;d1a0cc
PMS 2573;ba7cbc
PMS 2583;9e4fa5
PMS 2593;872b93
PMS 2603;70147a
PMS 2613;66116d
PMS 2623;5b195e
PMS 2567;bf93cc
PMS 2577;aa72bf
PMS 2587;8e47ad
PMS 2597;66008c
PMS 2607;5b027a
PMS 2617;560c70
PMS 2627;4c145e
PMS 263;e0cee0
PMS 264;c6aadb
PMS 265;9663c4
PMS 266;6d28aa
PMS 267;59118e
PMS 268;4f2170
PMS 269;442359
PMS 2635;c9add8
PMS 2645;b591d1
PMS 2655;9b6dc6
PMS 2665;894fbf
Violet;6607a5
PMS 2685;56008c
PMS 2695;44235e
PMS 270;baafd3
PMS 271;9e91c6
PMS 272;8977ba
PMS 273;38197a
PMS 274;2b1166
PMS 275;260f54
PMS 276;2b2147
PMS 2705;ad9ed3
PMS 2715;937acc
PMS 2725;7251bc
PMS 2735;4f0093
PMS 2745;3f0077
PMS 2755;35006d
PMS 2765;2b0c56
PMS 2706;d1cedd
PMS 2716;a5a0d6
PMS 2726;6656bc
PMS 2736;4930ad
PMS 2746;3f2893
PMS 2756;332875
PMS 2766;2b265b
PMS 2707;bfd1e5
PMS 2717;a5bae0
PMS 2727;5e68c4
Blue 072;380096
PMS 2747;1c146b
PMS 2757;141654
PMS 2767;14213d
PMS 2708;afbcdb
PMS 2718;5b77cc
PMS 2728;3044b5
PMS 2738;2d008e
PMS 2748;1e1c77
PMS 2758;192168
PMS 2768;112151
PMS 277;b5d1e8
PMS 278;99badd
PMS 279;6689cc
Reflex Blue;0c1c8c
PMS 280;002b7f
PMS 281;002868
PMS 282;002654
PMS 283;9bc4e2
PMS 284;75aadb
PMS 285;3a75c4
PMS 286;0038a8
PMS 287;003893
PMS 288;00337f
PMS 289;002649
PMS 290;c4d8e2
PMS 292;75b2dd
PMS 293;0051ba
PMS 294;003f87
PMS 295;00386b
PMS 296;002d47
PMS 2905;93c6e0
PMS 2915;60afdd
PMS 2925;008ed6
PMS 2935;005bbf
PMS 2945;0054a0
PMS 2955;003d6b
PMS 2965;00334c
PMS 297;82c6e2
PMS 298;51b5e0
PMS 299;00a3dd
PMS 300;0072c6
PMS 301;005b99
PMS 302;004f6d
PMS 303;003f54
PMS 2975;bae0e2
PMS 2985;51bfe2
PMS 2995;00a5db
PMS 3005;0084c9
PMS 3015;00709e
PMS 3025;00546b
PMS 3035;004454
PMS 304;a5dde2
PMS 305;70cee2
PMS 306;00bce2
Process Blue;0091c9
PMS 307;007aa5
PMS 308;00607c
PMS 309;003f49
PMS 310;72d1dd
PMS 311;28c4d8
PMS 312;00adc6
PMS 313;0099b5
PMS 314;00829b
PMS 315;006b77
PMS 316;00494f
PMS 3105;7fd6db
PMS 3115;2dc6d6
PMS 3125;00b7c6
PMS 3135;009baa
PMS 3145;00848e
PMS 3155;006d75
PMS 3165;00565b
PMS 317;c9e8dd
PMS 318;93dddb
PMS 319;4cced1
PMS 320;009ea0
PMS 321;008789
PMS 322;007272
PMS 323;006663
PMS 324;aaddd6
PMS 325;56c9c1
PMS 326;00b2aa
PMS 327;008c82
PMS 328;007770
PMS 329;006d66
PMS 330;005951
PMS 3242;87ddd1
PMS 3252;56d6c9
PMS 3262;00c1b5
PMS 3272;00aa9e
PMS 3282;008c82
PMS 3292;006056
PMS 3302;00493f
PMS 3245;8ce0d1
PMS 3255;47d6c1
PMS 3265;00c6b2
PMS 3275;00b2a0
PMS 3285;009987
PMS 3295;008272
PMS 3305;004f42
PMS 3248;7ad3c1
PMS 3258;35c4af
PMS 3268;00af99
PMS 3278;009b84
PMS 3288;008270
PMS 3298;006b5b
PMS 3308;004438
PMS 331;baead6
PMS 332;a0e5ce
PMS 333;5eddc1
Green;00af93
PMS 334;00997c
PMS 335;007c66
PMS 336;006854
PMS 337;9bdbc1
PMS 338;7ad1b5
PMS 339;00b28c
PMS 340;009977
PMS 341;007a5e
PMS 342;006b54
PMS 343;00563f
PMS 3375;8ee2bc
PMS 3385;54d8a8
PMS 3395;00c993
PMS 3405;00b27a
PMS 3415;007c59
PMS 3425;006847
PMS 3435;024930
PMS 344;b5e2bf
PMS 345;96d8af
PMS 346;70ce9b
PMS 347;009e60
PMS 348;008751
PMS 349;006b3f
PMS 350;234f33
PMS 351;b5e8bf
PMS 352;99e5b2
PMS 353;84e2a8
PMS 354;00b760
PMS 355;009e49
PMS 356;007a3d
PMS 357;215b33
PMS 358;aadd96
PMS 359;a0db8e
PMS 360;60c659
PMS 361;1eb53a
PMS 362;339e35
PMS 363;3d8e33
PMS 364;3a7728
PMS 365;d3e8a3
PMS 366;c4e58e
PMS 367;aadd6d
PMS 368;5bbf21
PMS 369;56aa1c
PMS 370;568e14
PMS 371;566b21
PMS 372;d8ed96
PMS 373;ceea82
PMS 374;bae860
PMS 375;8cd600
PMS 376;7fba00
PMS 377;709302
PMS 378;566314
PMS 379;e0ea68
PMS 380;d6e542
PMS 381;cce226
PMS 382;bad80a
PMS 383;a3af07
PMS 384;939905
PMS 385;707014
PMS 386;e8ed60
PMS 387;e0ed44
PMS 388;d6e80f
PMS 389;cee007
PMS 390;bac405
PMS 391;9e9e07
PMS 392;848205
PMS 393;f2ef87
PMS 394;eaed35
PMS 395;e5e811
PMS 396;e0e20c
PMS 397;c1bf0a
PMS 398;afa80a
PMS 399;998e07
PMS 3935;f2ed6d
PMS 3945;efea07
PMS 3955;ede211
PMS 3965;e8dd11
PMS 3975;b5a80c
PMS 3985;998c0a
PMS 3995;6d6002
PMS 400;d1c6b5
PMS 401;c1b5a5
PMS 402;afa593
PMS 403;998c7c
PMS 404;827566
PMS 405;6b5e4f
Black;3d332b
PMS 406;cec1b5
PMS 407;baaa9e
PMS 408;a8998c
PMS 409;99897c
PMS 410;7c6d63
PMS 411;66594c
PMS 412;3d3028
PMS 413;c6c1b2
PMS 414;b5afa0
PMS 415;a39e8c
PMS 416;8e8c7a
PMS 417;777263
PMS 418;605e4f
PMS 419;282821
PMS 420;d1ccbf
PMS 421;bfbaaf
PMS 422;afaaa3
PMS 423;96938e
PMS 424;827f77
PMS 425;60605b
PMS 426;2b2b28
PMS 427;dddbd1
PMS 428;d1cec6
PMS 429;adafaa
PMS 430;919693
PMS 431;666d70
PMS 432;444f51
PMS 433;30383a
PMS 434;e0d1c6
PMS 435;d3bfb7
PMS 436;bca59e
PMS 437;8c706b
PMS 438;593f3d
PMS 439;493533
PMS 440;3f302b
PMS 441;d1d1c6
PMS 442;babfb7
PMS 443;a3a8a3
PMS 444;898e8c
PMS 445;565959
PMS 446;494c49
PMS 447;3f3f38
Warm Gray 1;e5dbcc
Warm Gray 2;ddd1c1
Warm Gray 3;ccc1b2
Warm Gray 4;c1b5a5
Warm Gray 5;b5a899
Warm Gray 6;afa393
Warm Gray 7;a39687
Warm Gray 8;96897a
Warm Gray 9;8c7f70
Warm Gray 10;827263
Warm Gray 11;6d5e51
Cool Gray 1;e8e2d6
Cool Gray 2;ddd8ce
Cool Gray 3;d3cec4
Cool Gray 4;c4c1ba
Cool Gray 5;bab7af
Cool Gray 6;b5b2aa
Cool Gray 7;a5a39e
Cool Gray 8;9b9993
Cool Gray 9;8c8984
Cool Gray 10;777772
Cool Gray 11;686663
PMS 448;54472d
PMS 449;544726
PMS 450;60542b
PMS 451;ada07a
PMS 452;c4b796
PMS 453;d6ccaf
PMS 454;e2d8bf
PMS 4485;604c11
PMS 4495;877530
PMS 4505;a09151
PMS 4515;bcad75
PMS 4525;ccbf8e
PMS 4535;dbcea5
PMS 4545;e5dbba
PMS 455;665614
PMS 456;998714
PMS 457;b59b0c
PMS 458;ddcc6b
PMS 459;e2d67c
PMS 460;eadd96
PMS 461;ede5ad
PMS 462;5b4723
PMS 463;755426
PMS 464;876028
PMS 465;c1a875
PMS 466;d1bf91
PMS 467;ddcca5
PMS 468;e2d6b5
PMS 4625;472311
PMS 4635;8c5933
PMS 4645;b28260
PMS 4655;c49977
PMS 4665;d8b596
PMS 4675;e5c6aa
PMS 4685;edd3bc
PMS 469;603311
PMS 4695;51261c
PMS 4705;7c513d
PMS 4715;99705b
PMS 4725;b5917c
PMS 4735;ccaf9b
PMS 4745;d8bfaa
PMS 4755;e2ccba
PMS 476;593d2b
PMS 477;633826
PMS 478;7a3f28
PMS 479;af8970
PMS 480;d3b7a3
PMS 481;e0ccba
PMS 482;e5d3c1
PMS 483;6b3021
PMS 484;9b301c
PMS 485;d81e05
PMS 486;ed9e84
PMS 487;efb5a0
PMS 488;f2c4af
PMS 489;f2d1bf
PMS 490;5b2626
PMS 491;752828
PMS 492;913338
PMS 493;db828c
PMS 494;f2adb2
PMS 495;f4bcbf
PMS 496;f7c9c6
PMS 497;512826
PMS 498;6d332b
PMS 499;7a382d
PMS 500;ce898c
PMS 501;eab2b2
PMS 502;f2c6c4
PMS 503;f4d1cc
PMS 4975;441e1c
PMS 4985;844949
PMS 4995;a56b6d
PMS 5005;bc8787
PMS 5015;d8ada8
PMS 5025;e2bcb7
PMS 5035;edcec6
PMS 504;511e26
PMS 505;661e2b
PMS 506;7a2638
PMS 507;d8899b
PMS 508;e8a5af
PMS 509;f2babf
PMS 510;f4c6c9
PMS 511;602144
PMS 512;84216b
PMS 513;9e2387
PMS 514;d884bc
PMS 515;e8a3c9
PMS 516;f2bad3
PMS 517;f4ccd8
PMS 5115;4f213a
PMS 5125;754760
PMS 5135;936b7f
PMS 5145;ad8799
PMS 5155;ccafb7
PMS 5165;e0c9cc
PMS 5175;e8d6d1
PMS 518;512d44
PMS 519;63305e
PMS 520;703572
PMS 521;b58cb2
PMS 522;c6a3c1
PMS 523;d3b7cc
PMS 524;e2ccd3
PMS 5185;472835
PMS 5195;593344
PMS 5205;8e6877
PMS 5215;b5939b
PMS 5225;ccadaf
PMS 5235;ddc6c4
PMS 5245;e5d3cc
PMS 525;512654
PMS 526;68217a
PMS 527;7a1e99
PMS 528;af72c1
PMS 529;cea3d3
PMS 530;d6afd6
PMS 531;e5c6db
PMS 5255;35264f
PMS 5265;493d63
PMS 5275;605677
PMS 5285;8c8299
PMS 5295;b2a8b5
PMS 5305;ccc1c6
PMS 5315;dbd3d3
PMS 532;353842
PMS 533;353f5b
PMS 534;3a4972
PMS 535;9ba3b7
PMS 536;adb2c1
PMS 537;c4c6ce
PMS 538;d6d3d6
PMS 539;003049
PMS 540;00335b
PMS 541;003f77
PMS 542;6693bc
PMS 543;93b7d1
PMS 544;b7ccdb
PMS 545;c4d3dd
PMS 5395;02283a
PMS 5405;3f6075
PMS 5415;607c8c
PMS 5425;8499a5
PMS 5435;afbcbf
PMS 5445;c4cccc
PMS 5455;d6d8d3
PMS 546;0c3844
PMS 547;003f54
PMS 548;004459
PMS 549;5e99aa
PMS 550;87afbf
PMS 551;a3c1c9
PMS 552;c4d6d6
PMS 5463;00353a
PMS 5473;26686d
PMS 5483;609191
PMS 5493;8cafad
PMS 5503;aac4bf
PMS 5513;ced8d1
PMS 5523;d6ddd6
PMS 5467;193833
PMS 5477;3a564f
PMS 5487;667c72
PMS 5497;91a399
PMS 5507;afbab2
PMS 5517;c9cec4
PMS 5527;ced1c6
PMS 553;234435
PMS 554;195e47
PMS 555;076d54
PMS 556;7aa891
PMS 557;a3c1ad
PMS 558;b7cebc
PMS 559;c6d6c4
PMS 5535;213d30
PMS 5545;4f6d5e
PMS 5555;779182
PMS 5565;96aa99
PMS 5575;afbfad
PMS 5585;c4cebf
PMS 5595;d8dbcc
PMS 560;2b4c3f
PMS 561;266659
PMS 562;1e7a6d
PMS 563;7fbcaa
PMS 564;a0cebc
PMS 565;bcdbcc
PMS 566;d1e2d3
PMS 5605;233a2d
PMS 5615;546856
PMS 5625;728470
PMS 5635;9eaa99
PMS 5645;bcc1b2
PMS 5655;c6ccba
PMS 568;d6d6c6
PMS 569;05705e
PMS 570;008772
PMS 571;7fc6b2
PMS 572;aadbc6
PMS 573;bce2ce
PMS 574;cce5d6
PMS 575;495928
PMS 576;547730
PMS 577;608e3a
PMS 578;b5cc8e
PMS 579;c6d6a0
PMS 580;c9d6a3
PMS 5743;d8ddb5
PMS 5753;3f4926
PMS 5763;5e663a
PMS 5773;777c4f
PMS 5783;9b9e72
PMS 5793;b5b58e
PMS 803;c6c6a5
PMS 5747;d8d6b7
PMS 5757;424716
PMS 5767;6b702b
PMS 5777;8c914f
PMS 5787;aaad75
PMS 5797;c6c699
PMS 5807;d3d1aa
PMS 581;e0ddbc
PMS 582;605e11
PMS 583;878905
PMS 584;aaba0a
PMS 585;dbe06b
PMS 586;e2e584
PMS 587;e8e89b
PMS 5815;494411
PMS 5825;75702b
PMS 5835;9e9959
PMS 5845;b2aa70
PMS 5855;ccc693
PMS 5865;d6cea3
PMS 5875;e0dbb5
PMS 600;f4edaf
PMS 601;f2ed9e
PMS 602;f2ea87
PMS 603;ede85b
PMS 604;e8dd21
PMS 605;ddce11
PMS 606;d3bf11
PMS 607;f2eabc
PMS 608;efe8ad
PMS 609;eae596
PMS 610;e2db72
PMS 611;d6ce49
PMS 612;c4ba00
PMS 613;afa00c
PMS 614;eae2b7
PMS 615;e2dbaa
PMS 616;ddd69b
PMS 617;ccc47c
PMS 618;b5aa59
PMS 619;968c28
PMS 620;847711
PMS 621;d8ddce
PMS 622;c1d1bf
PMS 623;a5bfaa
PMS 624;7fa08c
PMS 625;5b8772
PMS 626;21543f
PMS 627;0c3026
PMS 628;cce2dd
PMS 629;b2d8d8
PMS 630;8cccd3
PMS 631;54b7c6
PMS 632;00a0ba
PMS 633;007f99
PMS 634;00667f
PMS 635;bae0e0
PMS 636;99d6dd
PMS 637;6bc9db
PMS 638;00b5d6
PMS 639;00a0c4
PMS 640;008cb2
PMS 641;007aa5
PMS 642;d1d8d8
PMS 643;c6d1d6
PMS 644;9bafc4
PMS 645;7796b2
PMS 646;5e82a3
PMS 647;26547c
PMS 648;00305e
PMS 649;d6d6d8
PMS 650;bfc6d1
PMS 651;9baabf
PMS 652;6d87a8
PMS 653;335687
PMS 654;0f2b5b
PMS 655;0c1c47
PMS 656;d6dbe0
PMS 657;c1c9dd
PMS 658;a5afd6
PMS 659;7f8cbf
PMS 660;5960a8
PMS 661;2d338e
PMS 662;0c1975
PMS 663;e2d3d6
PMS 664;d8ccd1
PMS 665;c6b5c4
PMS 666;a893ad
PMS 667;7f6689
PMS 668;664975
PMS 669;472b59
PMS 670;f2d6d8
PMS 671;efc6d3
PMS 672;eaaac4
PMS 673;e08cb2
PMS 674;d36b9e
PMS 675;bc3877
PMS 676;a00054
PMS 677;edd6d6
PMS 678;eaccce
PMS 679;e5bfc6
PMS 680;d39eaf
PMS 681;b7728e
PMS 682;a05175
PMS 683;7f284f
PMS 684;efccce
PMS 685;eabfc4
PMS 686;e0aaba
PMS 687;c9899e
PMS 688;b26684
PMS 689;934266
PMS 690;702342
PMS 691;efd1c9
PMS 692;e8bfba
PMS 693;dba8a5
PMS 694;c98c8c
PMS 695;b26b70
PMS 696;8e4749
PMS 697;7f383a
PMS 698;f7d1cc
PMS 699;f7bfbf
PMS 700;f2a5aa
PMS 701;e8878e
PMS 702;d6606d
PMS 703;b73844
PMS 704;9e2828
PMS 705;f9ddd6
PMS 706;fcc9c6
PMS 707;fcadaf
PMS 708;f98e99
PMS 709;f26877
PMS 710;e04251
PMS 711;d12d33
PMS 712;ffd3aa
PMS 713;f9c9a3
PMS 714;f9ba82
PMS 715;fc9e49
PMS 716;f28411
PMS 717;d36d00
PMS 718;bf5b00
PMS 719;f4d1af
PMS 720;efc49e
PMS 721;e8b282
PMS 722;d18e54
PMS 723;ba7530
PMS 724;8e4905
PMS 725;753802
PMS 726;edd3b5
PMS 727;e2bf9b
PMS 728;d3a87c
PMS 729;c18e60
PMS 730;aa753f
PMS 731;723f0a
PMS 732;60330a
Yellow 2X;fce216
PMS 116 2X;f7b50c
PMS 130 2X;e29100
PMS 165 2X;ea4f00
Warm Red 2X;e03a00
PMS 1788 2X;d62100
PMS 1852 2X;d11600
PMS 485 2X;cc0c00
Rubine Red 2X;c6003d
Rhodamine Red 2X;d10572
PMS 239 2X;c4057c
Purple 2X;aa0096
PMS 2592 2X;720082
Violet 2X;59008e
Reflex Blue 2X;1c007a
Process Blue 2X;0077bf
PMS 299 2X;007fcc
PMS 306 2X;00a3d1
PMS 320 2X;007f82
PMS 327 2X;008977
Green 2X;009677
PMS 354 2X;009944
PMS 368 2X;009e0f
PMS 375 2X;54bc00
PMS 382 2X;9ec400
PMS 471 2X;a34402
PMS 464 2X;704214
PMS 433 2X;0a0c11
Black 2;3a3321
Black 3;282d26
Black 4;3d3023
Black 5;422d2d
Black 6;1c2630
Black 7;443d38
Black 2 2X;111111
Black 3 2X;111114
Black 4 2X;0f0f0f
Black 5 2X;110c0f
Black 6 2X;070c0f
Black 7 2X;33302b
PMS 801;00aacc
PMS 802;60dd49
PMS 803;ffed38
PMS 804;ff9338
PMS 805;f95951
PMS 806;ff0093
PMS 807;d6009e
PMS 801 2X;0089af
PMS 802 2X;1cce28
PMS 803 2X;ffd816
PMS 804 2X;ff7f1e
PMS 805 2X;f93a2b
PMS 806 2X;f7027c
PMS 807 2X;bf008c
PMS 808;00b59b
PMS 809;dde00f
PMS 810;ffcc1e
PMS 811;ff7247
PMS 812;fc2366
PMS 813;e50099
PMS 814;8c60c1
PMS 808 2X;00a087
PMS 809 2X;d6d60c
PMS 810 2X;ffbc21
PMS 811 2X;ff5416
PMS 812 2X;fc074f
PMS 813 2X;d10084
PMS 814 2X;703faf